client_id	round	local_train_ms	encode_gradient_ms	prove_ms	proof_size_bytes	sign_ms	signature_size_bytes
1	0	7.087	0.076	20.084	43	0.528	3309
2	0	7.346	0.037	18.101	43	0.329	3309
3	0	17.056	0.049	14.949	43	0.418	3309
4	0	9.341	0.042	16.791	43	0.235	3309
5	0	7.294	0.037	19.341	43	0.318	3309
6	0	7.009	0.040	18.792	43	0.408	3309
7	0	6.292	0.053	18.582	43	0.385	3309
8	0	5.599	0.039	16.591	43	0.443	3309
9	0	7.211	0.046	20.313	43	0.270	3309
10	0	6.902	0.038	21.604	45	0.599	3309
11	0	8.902	0.039	16.782	45	0.195	3309
12	0	6.833	0.062	18.255	45	0.319	3309
13	0	9.371	0.035	17.230	45	0.336	3309
14	0	8.730	0.032	17.708	45	0.191	3309
15	0	6.901	0.109	17.028	45	0.208	3309
16	0	6.844	0.045	16.948	45	0.256	3309
17	0	8.158	0.027	19.441	45	0.169	3309
18	0	7.417	0.070	18.015	45	0.328	3309
19	0	6.109	0.124	17.147	45	0.302	3309
20	0	7.211	0.055	18.745	45	1.255	3309
21	0	5.368	0.035	17.478	45	0.247	3309
22	0	5.840	0.043	16.802	45	0.175	3309
23	0	5.568	0.038	16.101	45	0.238	3309
24	0	8.060	0.042	15.961	45	0.226	3309
25	0	6.640	0.065	15.619	45	0.300	3309
26	0	7.378	0.059	18.106	45	0.253	3309
27	0	5.861	0.026	21.039	45	0.252	3309
28	0	6.452	0.035	19.839	45	0.456	3309
29	0	10.490	0.074	17.999	45	0.221	3309
30	0	5.650	0.079	17.721	45	0.699	3309
31	0	5.954	0.026	19.830	45	0.591	3309
32	0	14.384	0.050	24.926	45	0.293	3309
33	0	17.900	0.055	20.287	45	0.344	3309
34	0	7.630	0.063	23.618	45	0.479	3309
35	0	10.734	0.037	19.783	45	0.323	3309
36	0	12.015	0.053	19.654	45	0.368	3309
37	0	9.033	0.052	22.383	45	0.291	3309
38	0	9.288	0.056	21.109	45	0.603	3309
39	0	9.055	0.117	20.910	45	0.244	3309
40	0	6.555	0.047	20.658	45	0.196	3309
41	0	6.713	0.086	21.135	45	0.426	3309
42	0	12.887	0.056	19.123	45	0.558	3309
43	0	8.307	0.056	20.920	45	0.289	3309
44	0	9.543	0.056	27.013	45	0.412	3309
